"";"id";"name";"country";"gwno";"continent";"origin";"purpose_text";"size";"organization";"reason_membership";"headcount_high";"other";"location";"accuracy_formed";"headcount_low";"weapon_training";"party_id";"other_connection";"accuracy_dissolved";"treatment_civilians";"name_assigned";"reference_meta";"termination";"last_activity";"date_formed";"year_formed";"month_formed";"day_formed";"date_terminated";"year_terminated";"month_terminated";"day_terminated";"year_terminated_alt";"purp_protect_institutions";"purp_protect_leader";"purp_protect_border";"purp_protect_property";"purp_protect_security";"purp_intimidate_ethnic_religious";"purp_destabilise_neighbour";"purp_intelligence";"purp_intimidate_civilian";"purp_anti_crime";"purp_intimidate_opposition";"purp_fight_insurgents";"member_ethnic";"member_religious";"member_ideology";"member_village_rural";"member_urban";"member_security_forces";"member_mercenary";"member_unemployed";"member_adolescent";"member_former_rebel";"member_children";"member_ex_soldier";"member_party_activist";"member_criminals";"member_worker";"member_foreign_national";"member_student";"member_peasant";"link_person";"link_party";"link_state_institution";"link_unclear";"link_subnational_gov";"link_military";"govcreator_other";"govcreator_unclear";"govcreator_person";"govcreator_subnational";"govcreator_party";"govcreator_military";"govcreator_state_institution";"rel_benefit_knowledge";"rel_benefit_local_presence";"rel_benefit_local_support";"rel_benefit_faster_mobil";"rel_benefit_cheaper_mobil";"rel_benefit_deniability";"rel_benefit_coup_proof";"rel_benefit_use_violence";"rel_benefit_loyalty";"violencetype_kidnap";"violencetype_kill";"violencetype_beat";"violencetype_torture";"violencetype_sexual";"target_civilian";"target_criminal";"target_immigrant";"target_govcritic";"target_rebel";"target_unclear";"target_ethnic";"target_military";"target_aidworker";"target_pko";"target_foreigner";"target_pgm";"target_religious";"target_journalist";"target_peasant";"target_foreign_military";"target_student";"termtype_disarmed";"termtype_gov_change";"termtype_border_change";"termtype_pgm_defect";"termtype_gov_defect";"termtype_integrate";"termtype_unclear";"support_gov";"support_corporation";"support_land";"support_self";"support_loot";"support_unclear";"support_military";"support_foreign_gov";"support_drugs";"support_crime";"support_foreign";"support_village";"sponsor_US";"sponsor_Canada";"sponsor_Cuba";"sponsor_Argentina";"sponsor_UK";"sponsor_France";"sponsor_Germany";"sponsor_Russia";"sponsor_Nigeria";"sponsor_Kenya";"sponsor_Tanzania";"sponsor_Ethiopia";"sponsor_Angola";"sponsor_South_Africa";"sponsor_Libya";"sponsor_Iran";"sponsor_Iraq";"sponsor_Syria";"sponsor_Israel";"sponsor_Saudi_Arabia";"sponsor_Qatar";"sponsor_UAE";"sponsor_N_Korea";"sponsor_Vietnam";"sponsor_Australia";"ethnicmember01";"gwgroupid_m01";"ethnicmember02";"gwgroupid_m02";"ethnicmember03";"gwgroupid_m03";"ethnicmember04";"gwgroupid_m04";"gwgroupid_p01";"ethnicpurpose01";"gwgroupid_p02";"ethnicpurpose02";"gwgroupid_p03";"ethnicpurpose03";"gwgroupid_t01";"ethnictarget01";"gwgroupid_t02";"ethnictarget02";"gwgroupid_t03";"ethnictarget03";"predecessor_id01";"predecessor01";"predecessor_id02";"predecessor02";"successor_id01";"successor01";"successor_id02";"successor02";"prior_ucdp01";"prior_ucdp02";"post_ucdp01";"post_ucdp02";"government_relation";"gov_formed";"gov_trained_equipped";"shared_info_ops";"shared_personnel";"pmc";"prior_group";"prior_armed";"prior_rebel";"post_rebel";"primary_mem";"alt_primary_mem";"info_ethnic_mem";"info_ethnic_targ";"info_ethnic_purp";"members_paid";"members_coerced";"members_killed"
"1";3;"Glaive Gladio";"France";220;"Europe";"The group was set up with assistance from the CIA and British intelligence.";"The group was intended as a fighting force prepared to counter a possible Warsaw Pact invasion. In this case, it was meant to conduct guerilla warfare and sabotage activities.";"";"The PGM was coordinated by NATO and run by military secret services in close cooperation with the CIA and British Secret Intelligence Service. In France, only the Prime Minister and Defence Ministers were told it existed.";"";NA;"The group had connections to other European networks of Gladio in Italy, Belgium, Sweden and Switzerland. The network of groups may have some semi-official status within the intelligence community. But the group was hidden even from some domestic governments and prime ministers. The groups were ultimately answerable to NATO-CIA rather than to domestic governments in event of attack by members of the Warsaw Pact.";".";"dec";NA;"The group trained with the US Green Berets and the British Special Air Services (SAS) and was equipped from underground arms caches.";".";"Nato";"dy";"There were allegations that, in some countries, the group was responsible for right-wing terrorist attacks.";0;"Information was taken from news sources listed in the PGMD.

Wikipedia. Operation Gladio. https://en.wikipedia.org/w/index.php?title=Operation_Gladio&oldid=763490893";"Gladio was disbanded by the President in 1990.";NA;1951-01-01;1951;1;1;1990-12-05;1990;12;5;1990;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;0;2;3;3;1;1;1;NA;NA;1;0;0;3;3;3;1;1;0
"2";4;"Gladio";"Belgium";211;"Europe";"Since 1947, the US was directing the construction of a clandestine Gladio network in Italy, and then in other European countries. In 1950 the Belgian Gladio was set up with the help of the CIA and British Agents.";"Gladio’s purpose was to prepare for, and implement, a guerilla war and armed resistance in the event of a Warsaw Pact invasion and conquest (Wikipedia).";"";"Gladio was coordinated by NATO and run by the military secret service in close cooperation with the CIA and British MI6 (Wikipedia). Gladio was ultimately answerable to the NATO-CIA command and could initiate anti-communist operations by themselves, although they needed sanction and funds from the existing “official” Gladio column. In Belgium, the only elected representatives who knew about its existence were the prime ministers and defence ministers.";"";NA;"Operation Gladio is the name for a clandestine NATO “stay-behind” operation in Italy during the Cold War. “Operation Gladio” is also used as an informal name for similar units in other European nations. In Belgium, the secret unit was code-named SDRA8 (Wikipedia). The Allied Cooperation committee (representatives of all countries and Gladio networks) met in Brussels. Belgian Gladio was linked to terrorist attacks in the 1980s – but not specific information is available. The network of groups may have some semi-official status within the intelligence community. But this status is not recognized. The groups were hidden even from some domestic governments and prime ministers. They were ultimately answerable to NATO-CIA rather than domestic governments in event of attack by Warsaw Pact.";"";"yr";NA;"Gladio members trained together with US Green Berets and British Special Air Service (SAS). They were equipped with underground arms-caches.  (Wikipedia)";"";"NATO";"yr";"";0;"Wikipedia. “Operation Gladio”. https://en.wikipedia.org/w/index.php?title=Operation_Gladio&oldid=744766573";"In the 1990s the existence of Gladio networks in Europe was discovered. Belgium carried out parliamentary investigations (Wikipedia). It became, alongside Switzerland, the latest European nation to scrap the Gladio network.";NA;1950-01-01;1950;1;1;1990-11-23;1990;11;23;1990;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;0;2;1;2;1;1;1;NA;NA;1;0;0;3;3;3;1;1;0
"3";5;"Anti-Terrorist Liberation Group (GAL)";"Spain";230;"Europe";"The group announced its existence in December 1983, having been set up by two brothers linked to anti-ETA activity since 1979. Those linked to the brothers were in the 1960s members of the Secret Army Organisation (OAS) who fought against Algerian independence.";"The main purpose of the group was to fight Basque separatists, mainly targeting ETA, without being linked to the formal state institutions.";"";"The group was financed by secret funds from the Interior Ministry, had suspected ties to the police and security forces and was supported by the military intelligence service. Convicted members of the group’s leadership included various government, police or military officials, such as José Barrionuevo, Rafael Vera, Ricardo Garc<U+00ED>a Damborenea, Francisco <U+00C1>lvarez, Miguel Planchuelo, José Amedo Fouce,
Juli<U+00E1>n Sancristóbal, and General Enrique Rodr<U+00ED>guez Galindo.";"According to experts, some members joined based on their own political convictions, i.e. because they did not think official policy against the ETA went far enough.";NA;"GAL targeted ETA members in retaliation for ETA violence. In 1984, the Spanish government denied involvement in the group, while some individuals privately admitted being involved in 1986. A court case investigated whether there was a link between the socialist government and the group in 1987. A Supreme Court trial in 1996 found no evidence linking Prime Minister Gonz<U+00E1>les to the PGM, but in 1995 former security chiefs revealed the involvement of the Deputy Prime Minister and the former Interior Minister. In 1994, three former security chiefs were formally accused of being involved and two Spanish police officers were arrested for hiring mercenaries to carry out murders in the 1980s. Some of those arrested for activities connected to the GAL were bribed by the government to keep silent and a report accused the Gonz<U+00E1>les government of obstructing investigations into the events. The group’s headquarters is believed to have been located in Aix-en-Provence.";"Basque region (Spain and France)";"dy";NA;"";".";"French underworld";"dy";"GAL injured civilians, assassinated and killed individuals suspected to be connected to ETA, and was responsible for kidnappings and torture. According to various sources, 23 - 28 people (presumed Basque separatists) died as a result of attacks perpetrated by the group.";0;"Information was taken from news sources listed in the PGMD.

Human Rights Watch. 2005. “Setting an Example? Counter-Terrorism Measures in Spain.” Jan 26, 2005. https://www.hrw.org/report/2005/01/26/setting-example/counter-terrorism-measures-spain

Wikipedia. “GAL (paramilitary group).” https://en.wikipedia.org/w/index.php?title=GAL_(paramilitary_group)&oldid=815312909";"The PGM was terminated in 1987 when France agreed to deport ETA activists.";1986;1979-01-01;1979;1;1;1987-01-01;1987;1;1;1987;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;1;1;1;1;2;1;1;NA;NA;1;5;0;3;3;3;1;1;0
"4";6;"Gurkha Reserve Unit";"Brunei";835;"Asia";"The Gurkha Reserve Unit was formed in 1974 (Wikipedia). Since Brunei was a British Protectorate until 1 Jan 1984, 1984 is used as the PGM’s start date.";"The Gurkha Reserve unit’s purpose was to protect the sultan and the Royal Family, as well as major oil installations (Wikipedia). According to a news source, the fact that the personal safety of the Sultan is entrusted to the Gurkha is considered a hint that the sultan does not trust the loyalty of his own armed forces.";"The Gurkha Reserve Unit had around 2,000 members in 1997 and maintained that number (Wikipedia).";"The Gurkha Reserve Unit works under the command of the Sultan and is subordinate to the Security and Defence Section of the Brunei Ministry of Home Affairs (Wikipedia). A news source of 1984 says that they were commanded by retired British officers.";"Members are recruited by the Sultan. They are well paid and housed.";2000;"The Gurkha Reserve Unit (Malay: Unit Simpanan Gurkha) is a special elite guard (Wikipedia). It is commonly known as “the Praetorian Guard”. Members are Nepalese Gurkhas recruited by Brunei after their service in the British army.";"";"dy";NA;"";"";"";"mo";"";0;"Wikipedia. “Gurkha Reserve Unit”. https://en.wikipedia.org/w/index.php?title=Gurkha_Reserve_Unit&oldid=738782847";"In 1997, Brunei disarmed the Gurkha Reserve Unit for disciplinary reasons after Gurkha members had protested against their former British commanders. The Gurkha Reserve Unit continued to exist and provided security to infrastructure and assistance to the police and other government agencies. There is no evidence that they were rearmed.";1996;1984-01-01;1984;1;1;1997-08-01;1997;8;1;1997;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;2;1;1;1;1;1;2;2;1;1;5;0;3;3;3;2;1;0
"5";7;"Workers' Militia";"Hungary";310;"Europe";"The PGM was established in 1956 after the Hungarian Uprising.";"The Workers’ Militia was the private army of the Communist Party used for its protection. Another main task was to control the civilian population.";"";"The PGM was under the control of the Interior Ministry.";"";60000;"Imre Pozsgay stands on election promise that party's paramilitary workers' militia would be reduced from 60,000 to 40,000 members next year, its weapons placed under Defense Ministry control and its armed exercises discontinued. Also known as people's militia";".";"yr";53000;"";"The Communist Party";"";"dy";"The group was used to control civilians after the 1956 uprising.";0;"Information was taken from news sources listed in the PGMD.";"The Socialist Party’s proposal to integrate the militia into the national guard was turned down by parliament who voted to disband them altogether in 1989. In a referendum (58% turnout) people voted overwhelmingly (94-95%) to abolish the Workers’ Militia.";NA;1989-03-20;1989;3;20;1989-11-28;1989;11;28;1989;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;2;2;1;1;1;1;2;2;1;1;0;0;3;3;3;1;1;0
"6";8;"People's Militia";"Czechoslovakia";315;NA;"The People’s Militia originated in 1948 as the armed part of the Communist Party and was involved in the Communist seizure of power.";"The group served as a kind of private army to the Communist Party and its main task was to uphold communist rule (e.g. by acting against potential guerillas and undercover agents).";"The numbers reported went from 2,000 in 1948 (Slovakia) to roughly 10,000 in 1949 (Slovakia). Eventually the group numbered 86,494 members in the whole of the country.";"The People’s Militia was under the control of the Communist Party and, prior to 1952, the Ministry of Interior. It cooperated with the People’s Army and the Public Security Corps.";"Members mainly consisted of factory workers.";120000;"";".";"mo";86494;"The group was armed with rifles, (sub)machine guns, mortars and anti-aircraft machine guns.";"The Communist Party";"";"dy";"The PGM was used to disperse protests against the regime.";0;"Information was taken from news sources listed in the PGMD.

Wikipedia. People’s Militias (Czechoslovakia). https://en.wikipedia.org/w/index.php?title=People%2527s_Militias_(Czechoslovakia)&oldid=715784931";"The group was disbanded on 22 December 1989.";1989;1948-02-01;1948;2;1;1989-12-22;1989;12;22;1989;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;2;2;1;2;1;1;1;NA;NA;1;6;0;3;3;3;1;1;0
"7";9;"Youth Awareness";"Madagascar";580;"Africa";"";"The government used the PGM to fight against an underground sect.";"No information.";"No information.";"Members were young and unemployed.";NA;"";"Tananarive";"yr";50;"The militia received training from North Korea.";".";"Trained in North Korea";"dy";"No information.";0;"Information was taken from news sources listed in the PGMD.";"A new constitution was approved by the constitutional convention in March 1992 creating Madagascar’s Third Republic. In the first multiparty presidential elections, Zafy Albert was voted as new president ending the tenure of Ratsiraka. Since there are no more evidence of the PGM in the Third Republic under Zafy Albert, the inauguration of the new president is coded as termination date.";1985;1984-12-04;1984;12;4;1993-03-27;1993;3;27;1993;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;1;1;1;2;1;1;1;NA;NA;1;8;0;3;3;3;1;1;0
"8";10;"Guardians of Peace";"Burundi";516;"Africa";"According to a US State Department Report (1998), the government created the Guardians of Peace in 1997.";"The Guardians of Peace were trained in all provinces to ensure self-defence from rebels in the respective areas. They reportedly destroyed four rebel command posts. They oftentimes acted in joint operations with security forces.";"The militia comprised around 20,000 members.";"Colonel Twagiramungu is said to be responsible for the conception, formation and running of the Peace Guards.";"no information";20000;"";"Rumonge, Kibononbono, Gihanga Commune, Muruta Commune, Birimba sector, Burambi, Bujumbura";"yr";NA;"The militia underwent military exercises in Northern Burundi in 2001. Members are not armed unless they are patrolling during the night.";"";"";"mo";"As one source suggests, the militia freed two women who had been abducted by rebels. However, in 2002 the parliament condemned crimes such as killing, burning houses and looting villages, perpetrated by the Guardians of Peace against the population.";0;"Information was taken from news sources listed in the PGMD";"In 2003, the government set up a three-part demobilisation programme targeting children in the Peace Guards. Shortly after the election in 2005, most members of the militia were disarmed, supported by UN Operations in Burundi.";2003;1997-01-01;1997;1;1;2005-09-30;2005;9;30;2005;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;1;2;2;2;1;1;1;NA;NA;1;3;0;3;3;3;1;1;2
"9";12;"Sungu Sungu";"Tanzania";510;"Africa";"The Sungusungu was created by the Sumuka and Nyamwezi ethnic groups in 1981 to protect the groups against cattle theft (Wikipedia). According to news reports, the group first existed in the northwestern region of Tanzania. They were perceived as peasant revolt against established security organisations, because they felt the regular forces had been unable to effectively provide safety. After the government unsuccessfully tried to infiltrate the group, they embraced it in 1983 and declared it a village security organ recognised as people’s militia. Over time Sungu Sungu spread nationwide.";"Before the group became a pro-government militia, the Sungusungu were intended to deal with cattle theft. With their legalization, their purpose shifted towards detaining and trying criminals and were used for law enforcement (Wikipedia). According to news reports, the government directed them to maintain and monitor security, fight criminals and guard the country’s border.";"A news source from 1983 reports that more than 6000 Sungusungu attended a rally.";"While the Sungusungu were initially a network, they quickly developed into formal organisations. In 1989, they were deputized by the Tanzanian government and became more influential than the Tanzanian Police Force in some regions. They had officially been outside the government system until reforms in the late 1980s and 1990s legalized their existence (Wikipedia). News sources report that already before that date government authorities, such as the Minister for Home Affairs Ndugu Salimin Amour, recognized and appreciated the Sungusungu. In 1994, President Mwinyi called for a strengthening of the Sungusungu. Since 1983 Sungusungu was a village security organ. It was an integral part of the general security apparatus.";"";6000;"Sungu Sungu are also known as Sungusungu or Busalaman; their name is a reference to the Swahili word that refers to a local species of army ants. The name Sungusungu first refered to local vigilante groups but the term has increasingly been used to describe any neighbourhood militia (Wikipedia). The group is independent from the Kenyan Sungusungu.";"Daar es Salaam, Mabama, Kalole";"yr";NA;"";"";"";"yr";"The Sungusungu have been called out for human rights abuses, including killing people in the absence of trials (Wikipedia). News sources also report cases of torture and disappearances caused by the Sungusungu.";0;"Wikipedia. “Sungusungu”. https://en.wikipedia.org/w/index.php?title=Sungusungu&oldid=751483864";"A news source of 2004 says that the Sungusungu were not armed. There is no further evidence that the group was active after 2004.";2001;1983-01-01;1983;1;1;2004-12-03;2004;12;3;2004;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";NA;NA;NA;NA;1;1;1;2;1;1;2;2;1;1;3;0;3;3;3;1;1;0
"10";14;"National Patriotic Front of Liberia";"Liberia";450;"Africa";"This group became pro-government when Charles Taylor and five other warlords called a truce and set up an interim ruling council in August 1995. Between 1989 and 1992 it was a rebel group that held much of Liberia (except Monrovia).";"The NPFL was used by Taylor to fight rebel groups and political opponents, particularly during the First Liberian Civil War.";"";"The leader of the NPFL was Taylor, from whom members took orders.";"";25;"The group supported itself with illegal trade in diamonds, hardwood and rubber.";"Monrovia";"mo";NA;"The NPFL was armed with howitzers, guns, mortars and missiles, according to UN officials. The weapons and members’ training were provided by the government.";".";"";"dy";"The NPFL was responsible for massacres, killings, torture, kidnapping and political assassinations. It has also been stated that it had a major role in the initiation of the First Liberian Civil War.";0;"Wikipedia. „National Patriotic Front of Liberia.” https://en.wikipedia.org/w/index.php?title=National_Patriotic_Front_of_Liberia&oldid=805963212";"Although there were negotiations after which rebels were integrated into the transitional government, groups continued to fight until the Abuja Accord supplement came into effect in August 1996. There was a negotiated agreement to disarm the militia, which was implemented in 1997 when the group started to be disbanded. However, this process was not completed immediately as one report from 1998 states that Taylor still used the NPFL. Many NPFL fighters were integrated into the regular armed forces and the police under Taylor. The group ceased to be pro-government with the resignation of Taylor in August 2003.";2000;1995-08-01;1995;8;1;2003-08-11;2003;8;11;2003;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;25;14;51;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;"";NA;"";NA;"";NA;"";507;NA;NA;NA;1;1;1;2;1;1;2;2;2;1;1;0;1;3;3;1;1;0
